"RESOURCEGROUP","NAME","TYPE","SUBSCRIPTIONNAME","OSSKU","OSTYPE","OSEDITION","VMTAGS","TAG_APPLICATION","TAG_LOCATION","TAG_COMMISSIONSTATUS"
"arc.rg","ARCBOX-SQL","VM","ME-MngEnvMCAP976703-matgeorge-1","Windows Server 2019 Standard","windows","Standard","{""Application"":""HRPlus"",""BusinessUnit"":""HR"",""Project"":""jumpstart_arcbox"",""Customer"":""Johnson"",""Location"":""AWS""}","","",""
"arc.rg","ArcBox-Win2K19","VM","ME-MngEnvMCAP976703-matgeorge-1","Windows Server 2019 Standard","windows","Standard","{""Application"":""ProStudio"",""Project"":""jumpstart_arcbox"",""Location"":""On-premise"",""Wave"":""3"",""Retirement"":""Y""}","","",""
"arc.rg","ArcBox-Win2K22","VM","ME-MngEnvMCAP976703-matgeorge-1","Windows Server 2022 Standard","windows","Standard","{""Application"":""ProStudio"",""Project"":""jumpstart_arcbox"",""Location"":""AWS"",""Wave"":""1""}","","",""
"arc.rg","Arcbox-Ubuntu-01","VM","ME-MngEnvMCAP976703-matgeorge-1","Ubuntu 22.04.3 LTS","linux","Standard","{""Application"":""LegalLeader"",""BusinessUnit"":""Legal"",""Project"":""jumpstart_arcbox"",""Customer"":""Johnson"",""Location"":""AWS""}","","",""
"arc.rg","Arcbox-Ubuntu-02","VM","ME-MngEnvMCAP976703-matgeorge-1","Ubuntu 22.04.3 LTS","linux","Standard","{""Application"":""HRPlus"",""BusinessUnit"":""HR"",""Project"":""jumpstart_arcbox"",""Customer"":""Johnson"",""Location"":""OnPremise""}","","",""
"arc.rg","WIN-81MF83M741O","VM","ME-MngEnvMCAP976703-matgeorge-1","Windows Server 2012 R2 Datacenter Evaluation","windows","Datacenter","{""Application"":""ProStudio"",""Project"":""jumpstart_arcbox"",""Location"":""AWS"",""Wave"":""2"",""Retirement"":""Y""}","","",""
